rank,name_en,name_tr
128,Manisa Celal Bayar University,Manisa Celal Bayar Üniversitesi
129,Adana Alparslan Türkeş Science and Technology University,Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi
130,Bilecik Şeyh Edebali University,Bilecik Şeyh Edebali Üniversitesi
131,Iskenderun Technical University,İskenderun Teknik Üniversitesi
132,Bitlis Eren University,Bitlis Eren Üniversitesi
133,İstanbul MEF University,İstanbul MEF Üniversitesi
134,Afyonkarahisar Sağlik Bilimleri University,Afyonkarahisar Sağlık Bilimleri Üniversitesi
135,Amasya University,Amasya Üniversitesi
136,Maltepe University,Maltepe Üniversitesi
137,Ufuk University,Ufuk Üniversitesi
138,Kütahya Sağlik Bilimleri University,Kütahya Sağlık Bilimleri Üniversitesi
139,Istanbul Arel University,İstanbul Arel Üniversitesi
140,Ankara Hacı Bayram Veli University,Ankara Hacı Bayram Veli Üniversitesi
141,Demiroğlu Bilim University,Demiroğlu Bilim Üniversitesi
142,İzmir Democracy University,İzmir Demokrasi Üniversitesi
143,Istanbul Gedik University,İstanbul Gedik Üniversitesi
144,Haliç University,Haliç Üniversitesi
145,Istinye University,İstinye Üniversitesi
146,Istanbul Atlas University,İstanbul Atlas Üniversitesi
147,Altınbaş University,Altınbaş Üniversitesi
148,Eskişehir Technical University,Eskisehir Teknik Üniversitesi
149,Fatih Sultan Mehmet University,Fatih Sultan Mehmet Üniversitesi
150,Mardin Artuklu University,Mardin Artuklu Üniversitesi
151,Bandırma Onyedi Eylül University,Bandırma Onyedi Eylül Üniversitesi
152,İbn Haldun University,İbn Haldun Üniversitesi
153,Sakarya Uygulamali Bilimler University,Sakarya Uygulamalı Bilimler Üniversitesi
154,Turkey Police Academy,Türkiye Polis Akademisi / Polis Akademisi Başkanlığı
155,Ankara Sosyal Bilimler University,Ankara Sosyal Bilimler Üniversitesi
156,Turkish-German University,Türk-Alman Üniversitesi
157,National Defense University,Milli Savunma Üniversitesi
158,Antalya Science University,Antalya Bilim Üniversitesi
159,Konya Technical University,Konya Teknik Üniversitesi
160,Kilis 7 Aralık University / December 7 University of Kilis,Kilis 7 Aralık Üniversitesi
161,Boğaziçi University,Boğaziçi Üniversitesi
162,Cappadocia University,Kapadokya Üniversitesi
163,Ardahan University,Ardahan Üniversitesi
164,Samsun University,Samsun Üniversitesi
165,Yeni Yüzyıl University,Yeni Yüzyıl Üniversitesi
166,Malatya Turgut Özal University,Malatya Turgut Özal Üniversitesi
167,Beykoz University,Beykoz Üniversitesi
168,Lokman Hekim University,Lokman Hekim Üniversitesi
169,Trabzon University,Trabzon Üniversitesi
170,Toros University,Toros Üniversitesi
171,Ankara Medipol University,Ankara Medipol Üniversitesi
172,Istanbul 29 Mayıs University,İstanbul 29 Mayıs Üniversitesi
173,Tarsus University,Tarsus Üniversitesi
174,Ostim Technical University,Ostim Teknik Üniversitesi
175,Istanbul Esenyurt University,İstanbul Esenyurt Üniversitesi
176,Fenerbahçe University,Fenerbahçe Üniversitesi
177,Hakkari University,Hakkari Üniversitesi
178,Konya Food and Agricultural University,Konya Gıda ve Tarım Üniversitesi
179,Nuh Naci Yazgan University,Nuh Naci Yazgan Üniversitesi
180,İstanbul Topkapı University,İstanbul Topkapı Üniversitesi
181,Kayseri University,Kayseri Üniversitesi
182,İstanbul Kent University,İstanbul Kent Üniversitesi
183,Sanko University,Sanko Üniversitesi
184,Istanbul Rumeli University,İstanbul Rumeli Üniversitesi
185,Ankara Fine Arts University,Ankara Güzel Sanatlar Üniversitesi
186,Avrasya University,Avrasya Üniversitesi
187,Gendarmerie and Coast Guard Academy,Jandarma ve Sahil Güvenlik Akademisi
188,Turkey Air Technical School,Türkiye Hava Teknik Okulu
189,Izmir Tinaztepe University,İzmir Tınaztepe Üniversitesi
190,Alanya Alaaddin Keykubat University,Alanya Alaaddin Keykubat Üniversitesi
191,Sivas Bilim Ve Teknoloji University,Sivas Bilim Ve Teknoloji Üniversitesi
192,Isparta Uygulamali Bilimler University,Isparta Uygulamalı Bilimler Üniversitesi
193,İzmir Kavram Meslek Yüksekokulu,İzmir Kavram Meslek Yüksekokulu
194,University of Turkish Aeronautical Association,Türk Hava Kurumu Üniversitesi
195,Gaziantep Islam Bilim Ve Teknoloji University,Gaziantep İslam Bilim Ve Teknoloji Üniversitesi
196,Kahramanmaraş Istiklal University,Kahramanmaraş İstiklal Üniversitesi
197,Munzur University Tunceli,Munzur Üniversitesi Tunceli
198,İstanbul Şişli Meslek Yüksekokulu,İstanbul Şişli Meslek Yüksekokulu
199,Ataşehir Adıgüzel Meslek Yüksekokulu,Ataşehir Adıgüzel Meslek Yüksekokulu
200,Arkin Universityn of Creative Arts,Arkın Yaratıcı Sanatlar ve Tasarım Üniversitesi
201,Bakırçay University,Bakırçay Üniversitesi
202,Kocaeli Health and Technology University,Kocaeli Sağlık ve Teknoloji Üniversitesi
203,Yüksek Ihtisas University,Yüksek İhtisas Üniversitesi
204,Alanya University,Alanya Üniversitesi
205,Rauf Denktas University,Rauf Denktaş Üniversitesi
206,İstanbul Sağlık ve Sosyal Bilimler Meslek Yüksek Okulu,İstanbul Sağlık ve Sosyal Bilimler Meslek Yüksek Okulu
207,Antalya Belek University,Antalya Belek Üniversitesi
208,Atatürk Teachers Academy,Atatürk Öğretmen Akademisi
209,Turkish Japanese Science and Technology University,Türk Japon Bilim ve Teknoloji Üniversitesi
